,model,best val acc,best val loss,training acc,training loss
0,resnet34,0.4903846153846154,2.131823919713497,0.9605263157894737,0.18353441799656625
1,resnet101_32x8d,0.4711538461538462,2.0353851713813267,0.9593301435406698,0.1570786789558721
2,densenet169,0.46634615384615385,1.946397789968894,0.8995215311004784,0.38729774210441625
3,resnext50_32x4d,0.46153846153846156,1.8567748023913457,0.777511961722488,0.6430339170129675
4,googlenet,0.4567307692307693,1.5940049760616744,0.7715311004784688,0.6912610791801836
5,resnet18,0.4567307692307693,2.1835595862223554,0.9318181818181818,0.21324401623324343
6,mobilenet,0.4519230769230769,1.8464571627286763,0.8923444976076554,0.375435771269091
7,densenet161,0.44711538461538464,1.9533314177623162,0.9031100478468899,0.3395843955033134
8,resnet50,0.44711538461538464,2.0833900295771084,0.9138755980861244,0.2958673168882799
9,resnet152,0.44711538461538464,2.031280796115215,0.9186602870813396,0.287049037132537
10,resnet101,0.44230769230769235,2.149857115860169,0.9282296650717703,0.25057871504263446
11,densenet201,0.4182692307692308,2.1934693650557446,0.9126794258373205,0.3013056741947192
12,vgg16,0.3894230769230769,1.4582244730912721,0.5334928229665071,1.141466670201726
13,vgg13,0.3509615384615385,1.4853583459670727,0.4055023923444976,1.3834159300087743
14,vgg11,0.34134615384615385,1.5132397000606244,0.3803827751196172,1.421721441608867
15,mnasnet1_0,0.2644230769230769,1.6078468767496257,0.2811004784688995,1.5710281792439913
16,mnasnet0_5,0.25480769230769235,1.600471012867414,0.26674641148325356,1.5760836986263402
17,shufflenet_v2_x0_5,0.25,1.5914005843492656,0.23923444976076555,1.5937996224353188
18,vgg19,0.23076923076923078,,0.2200956937799043,
